id,user_id,user_ip,timestamp,user_msg,srvr_msg
29752436,37-8452487,110.113.219.90,5/3/2022,"hi, how are you doing?",i'm fine. how about yourself?
7198537569,37-6986746,54.1.208.72,6/4/2023,i'm fine. how about yourself?,i'm pretty good. thanks for asking.
6133629458,50-9207958,73.11.164.217,10/16/2022,i'm pretty good. thanks for asking.,no problem. so how have you been?
1395562271,61-2895124,62.65.100.216,8/13/2023,no problem. so how have you been?,i've been great. what about you?
3608941514,41-1867004,51.70.247.214,12/8/2022,i've been great. what about you?,i've been good. i'm in school right now.
8295903561,57-8870302,203.46.127.38,2/28/2023,i've been good. i'm in school right now.,what school do you go to?
5100356879,86-6687707,245.35.62.162,2/23/2022,what school do you go to?,i go to pcc.
7340689748,97-3710034,19.210.19.157,7/23/2023,i go to pcc.,do you like it there?
4718310380,26-7855785,136.11.6.108,9/16/2022,do you like it there?,it's okay. it's a really big campus.
2551708573,00-3561212,81.39.242.44,9/17/2023,it's okay. it's a really big campus.,good luck with school.
8898319248,44-8823271,212.92.160.134,4/6/2022,good luck with school.,thank you very much.
8807393278,68-3929902,19.48.182.121,9/4/2023,how's it going?,i'm doing well. how about you?
8959140613,96-7775368,141.64.242.249,10/18/2023,i'm doing well. how about you?,"never better, thanks."
3906223570,75-7654604,121.213.173.60,12/4/2022,"never better, thanks.",so how have you been lately?
8609446206,20-4702008,79.187.11.249,5/11/2022,so how have you been lately?,i've actually been pretty good. you?
111586684,02-9358652,239.33.207.3,1/1/2023,i've actually been pretty good. you?,i'm actually in school right now.
2997476271,00-0157449,5.240.24.7,5/20/2023,i'm actually in school right now.,which school do you attend?
2926497529,41-3707718,129.164.104.160,1/4/2023,which school do you attend?,i'm attending pcc right now.
5560337535,90-6101981,138.78.113.205,10/17/2023,i'm attending pcc right now.,are you enjoying it there?
8146873348,30-4158184,129.149.40.26,7/13/2023,are you enjoying it there?,it's not bad. there are a lot of people there.
6868230129,96-0278513,108.79.235.190,1/7/2023,it's not bad. there are a lot of people there.,good luck with that.
805978365,36-1393373,90.211.170.65,5/2/2023,good luck with that.,thanks.
5960755805,61-7102049,168.202.104.225,2/8/2022,how are you doing today?,i'm doing great. what about you?
6324058117,59-1125726,159.32.32.103,4/20/2023,i'm doing great. what about you?,"i'm absolutely lovely, thank you."
